2021-07-19 14:18:50 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-07-19 14:19:09 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.4.RELEASE
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.4.RELEASE
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.9.1
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2021-07-19 14:19:12 [main] WARN  o.s.d.e.support.VersionInfo - Version mismatch in between Elasticsearch Clients build/use: 7.6.2 - 7.9.1
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.9.1
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch cluster: 7.9.1
2021-07-19 14:19:12 [main] WARN  o.s.d.e.support.VersionInfo - Version mismatch in between Elasticsearch Clients build/use: 7.6.2 - 7.9.1
2021-07-19 14:19:12 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch cluster: 7.9.1
2021-07-19 14:19:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/api-docs'], []
2021-07-19 14:19:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/api-docs'], []
2021-07-19 14:19:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@47eae91d, org.springframework.security.web.context.SecurityContextPersistenceFilter@39a865c1, org.springframework.security.web.header.HeaderWriterFilter@6c75e3bc, org.springframework.security.web.authentication.logout.LogoutFilter@546083d6, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6e017950, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@a7bbdbc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@71285693, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c1a74d, org.springframework.security.web.session.SessionManagementFilter@e3c36d, org.springframework.security.web.access.ExceptionTranslationFilter@3bf01a01, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69c1ea07]
2021-07-19 14:19:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c1a74d, org.springframework.security.web.context.SecurityContextPersistenceFilter@141dfcf9, org.springframework.security.web.header.HeaderWriterFilter@186f7434, org.springframework.security.web.authentication.logout.LogoutFilter@7ac1b6c0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1d06801f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@63eea8c4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3199a202, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@472719df, org.springframework.security.web.session.SessionManagementFilter@397a10df, org.springframework.security.web.access.ExceptionTranslationFilter@299cab08, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5cbe72b9]
2021-07-19 14:19:15 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-19 14:19:15 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-19 14:19:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8185"]
2021-07-19 14:19:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8185 (http) with context path '/elastic-query-service'
2021-07-19 14:19:20 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Started ElasticQueryServiceApplication in 32.489 seconds (JVM running for 35.522)
2021-07-19 14:19:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8183"]
2021-07-19 14:19:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8183 (http) with context path '/elastic-query-service'
2021-07-19 14:19:20 [main] INFO  c.m.d.e.q.s.ElasticQueryServiceApplication - Started ElasticQueryServiceApplication in 28.468 seconds (JVM running for 30.671)
2021-07-19 14:20:09 [http-nio-8183-exec-2] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-19 14:20:09 [http-nio-8183-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-07-19 14:20:09 [http-nio-8183-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2021-07-19 14:20:09 [http-nio-8183-exec-2] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying all documents in elasticsearch
2021-07-19 14:20:10 [http-nio-8183-exec-2] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryClientImpl - 631 of document retrieved successfully
2021-07-19 14:20:11 [http-nio-8183-exec-2] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 631 of documents
2021-07-19 14:20:19 [http-nio-8183-exec-3] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by id 1415344807925456906
2021-07-19 14:20:19 [http-nio-8183-exec-3] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryClientImpl - Document with id 1415344807925456906 retrieved successfully
2021-07-19 14:22:50 [http-nio-8185-exec-1] INFO  o.a.c.c.C.[.[.[/elastic-query-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-19 14:22:50 [http-nio-8185-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-07-19 14:22:50 [http-nio-8185-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2021-07-19 14:22:50 [http-nio-8185-exec-1] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by id 1415344807925456906
2021-07-19 14:22:50 [http-nio-8185-exec-1] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryClientImpl - Document with id 1415344807925456906 retrieved successfully
2021-07-19 14:34:39 [http-nio-8185-exec-4] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text text
2021-07-19 14:34:39 [http-nio-8185-exec-4] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryClientImpl - 0 of document with text text retrieved successfully
2021-07-19 14:34:39 [http-nio-8185-exec-4] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 0 of documents
2021-07-19 14:34:49 [http-nio-8183-exec-5] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text java
2021-07-19 14:34:49 [http-nio-8183-exec-5] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryClientImpl - 409 of document with text java retrieved successfully
2021-07-19 14:34:49 [http-nio-8183-exec-5] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 409 of documents
2021-07-19 14:34:53 [http-nio-8185-exec-5] INFO  c.m.d.e.q.s.b.i.TwitterElasticQueryService - Querying elasticsearch by text java
2021-07-19 14:34:53 [http-nio-8185-exec-5] INFO  c.m.d.e.q.c.s.i.TwitterElasticRepositoryClientImpl - 410 of document with text java retrieved successfully
2021-07-19 14:34:53 [http-nio-8185-exec-5] INFO  c.m.d.e.q.s.a.ElasticDocumentController - Elasticsearch returned 410 of documents
